clave,entidad,municipio,poblacion,ing_corr_tot_pc,anios_esc_mean,anios_esc_esp,ss_subin_salud,se_subin_educ,si_subin_ing,idh,gini,,
08050,Chihuahua,Nuevo Casas Grandes,65753,4376.545,9.556,13.362,0.865,0.69,0.781,0.775,0.35,,
08051,Chihuahua,Ocampo,8127,2668.971,6.689,11.664,0.826,0.547,0.707,0.684,0.32,,
08052,Chihuahua,Ojinaga,24534,4545.112,8.216,9.769,0.898,0.545,0.787,0.728,0.34,,
08053,Chihuahua,Praxedis G. Guerrero,5111,4038.955,6.842,10.575,0.885,0.522,0.769,0.708,0.28,,
08054,Chihuahua,Riva Palacio,7695,5019.021,6.654,8.111,0.894,0.447,0.802,0.684,0.31,,
08055,Chihuahua,Rosales,16776,3552.903,7.91,12.634,0.879,0.615,0.75,0.74,0.32,,
08056,Chihuahua,Rosario,2079,3012.277,5.993,12.611,0.898,0.55,0.725,0.71,0.33,,
08057,Chihuahua,San Francisco de Borja,2197,3376.836,6.492,11.053,0.672,0.523,0.742,0.639,0.33,,
08058,Chihuahua,San Francisco de Conchos,2696,4365.077,7.954,11.542,0.894,0.586,0.781,0.742,0.3,,
08059,Chihuahua,San Francisco del Oro,5004,4199.477,9.286,13.125,0.889,0.674,0.775,0.775,0.32,,
08060,Chihuahua,Santa Bárbara,11582,4006.293,9.22,13.236,0.894,0.675,0.768,0.774,0.33,,
08061,Chihuahua,Satevó,3414,2955.838,6.402,11.029,0.865,0.52,0.722,0.687,0.31,,
08062,Chihuahua,Saucillo,29862,4109.776,8.299,11.946,0.881,0.608,0.772,0.745,0.33,,
08063,Chihuahua,Temósachic,5320,3056.306,6.213,10.83,0.767,0.508,0.727,0.657,0.34,,
08064,Chihuahua,El Tule,1448,2926.058,6.102,10.712,0.673,0.501,0.721,0.624,0.33,,
08065,Chihuahua,Urique,17043,2262.531,4.726,9.483,0.664,0.421,0.682,0.575,0.41,,
08066,Chihuahua,Uruachi,6512,1418.405,5.091,10.811,0.583,0.47,0.611,0.551,0.43,,
08067,Chihuahua,Valle de Zaragoza,4775,3187.493,6.596,11.563,0.698,0.541,0.734,0.652,0.33,,
09002,Ciudad de México,Azcapotzalco,432205,5093.746,11.459,14.434,0.923,0.783,0.804,0.834,0.37,,
09003,Ciudad de México,Coyoacán,614447,5239.304,12.383,14.792,0.919,0.824,0.809,0.849,0.4,,
09004,Ciudad de México,Cuajimalpa de Morelos,217686,4903.279,10.993,13.268,0.899,0.735,0.799,0.808,0.4,,
09005,Ciudad de México,Gustavo A. Madero,1173351,4308.245,11.073,14.691,0.899,0.777,0.779,0.816,0.38,,
09006,Ciudad de México,Iztacalco,404695,5414.293,11.47,14.391,0.915,0.782,0.814,0.835,0.38,,
09007,Ciudad de México,Iztapalapa,1835486,3774.846,10.235,13.302,0.891,0.711,0.759,0.783,0.39,,
09008,Ciudad de México,La Magdalena Contreras,247622,3869.455,10.422,13.243,0.893,0.715,0.763,0.787,0.41,,
09009,Ciudad de México,Milpa Alta,152685,3189.066,9.655,13.471,0.856,0.696,0.734,0.759,0.36,,
09010,Ciudad de México,Álvaro Obregón,759137,4462.37,11.079,13.973,0.9,0.757,0.784,0.812,0.42,,
09011,Ciudad de México,Tláhuac,392313,3921.166,10.239,13.908,0.895,0.728,0.765,0.793,0.38,,
09012,Ciudad de México,Tlalpan,699928,4464.027,11.165,13.748,0.901,0.754,0.784,0.811,0.41,,
09013,Ciudad de México,Xochimilco,442178,3621.36,10.377,13.468,0.888,0.72,0.753,0.784,0.4,,
09014,Ciudad de México,Benito Juárez,434153,9606.542,13.957,15.264,0.935,0.889,0.9,0.908,0.37,,
09015,Ciudad de México,Cuauhtémoc,545884,6618.668,12.439,13.641,0.923,0.794,0.844,0.852,0.4,,
09016,Ciudad de México,Miguel Hidalgo,414470,7806.848,12.788,14.29,0.931,0.823,0.869,0.873,0.39,,
09017,Ciudad de México,Venustiano Carranza,443704,4752.403,11.148,12.734,0.915,0.725,0.794,0.808,0.38,,
10001,Durango,Canatlán,31454,2982.132,8.793,13.051,0.843,0.656,0.724,0.737,0.36,,
10002,Durango,Canelas,4321,1845.623,5.694,9.625,0.718,0.457,0.651,0.598,0.37,,
10003,Durango,Coneto de Comonfort,4084,1862.484,7.14,11.047,0.82,0.545,0.652,0.663,0.37,,
10004,Durango,Cuencamé,34955,3335.074,8.25,12.598,0.861,0.625,0.74,0.736,0.31,,
10005,Durango,Durango,688697,4106.466,10.329,13.566,0.886,0.721,0.772,0.79,0.34,,
10006,Durango,General Simón Bolívar,10038,2643.209,6.727,11.127,0.802,0.533,0.705,0.67,0.34,,
10007,Durango,Gómez Palacio,372750,4019.633,9.726,12.49,0.862,0.671,0.769,0.763,0.33,,
10008,Durango,Guadalupe Victoria,36695,3437.44,8.562,12.564,0.84,0.634,0.745,0.735,0.34,,
10009,Durango,Guanaceví,9869,2811.459,6.268,10.426,0.839,0.499,0.715,0.669,0.36,,
10010,Durango,Hidalgo,3843,2671.077,7.915,13.233,0.881,0.631,0.707,0.733,0.35,,
10011,Durango,Indé,4748,2632.35,7.129,12.432,0.803,0.583,0.705,0.691,0.35,,
10012,Durango,Lerdo,163313,4273.793,9.701,12.431,0.888,0.669,0.778,0.773,0.36,,
10013,Durango,Mapimí,26932,3657,7.641,11.115,0.822,0.563,0.754,0.704,0.3,,
10014,Durango,Mezquital,48583,883.938,5.166,10.75,0.588,0.471,0.54,0.531,0.5,,
10015,Durango,Nazas,12894,2667.661,7.787,10.522,0.785,0.552,0.707,0.674,0.34,,
10016,Durango,Nombre de Dios,19060,2868.488,7.919,12.468,0.843,0.61,0.718,0.717,0.34,,
10017,Durango,Ocampo,8003,3079.329,7.947,13.615,0.81,0.643,0.728,0.724,0.38,,
10018,Durango,El Oro,10384,4080.389,8.335,13.439,0.846,0.651,0.771,0.752,0.36,,
10019,Durango,Otáez,4924,1330.097,6.519,10.111,0.654,0.498,0.602,0.581,0.41,,
10020,Durango,Pánuco de Coronado,12656,2825.615,7.95,12.115,0.876,0.602,0.715,0.722,0.34,,
10021,Durango,Peñón Blanco,11118,2925.411,7.869,12.87,0.786,0.62,0.721,0.706,0.33,,
10022,Durango,Poanas,25623,2886.995,8.15,12.366,0.871,0.615,0.719,0.728,0.36,,
10023,Durango,Pueblo Nuevo,51269,2841.623,8.211,11.302,0.659,0.588,0.716,0.652,0.36,,
10024,Durango,Rodeo,12818,2942.562,8.321,13.514,0.787,0.653,0.722,0.718,0.38,,
10025,Durango,San Bernardo,2837,2815.16,6.995,11.241,0.857,0.545,0.715,0.694,0.38,,
10026,Durango,San Dimas,17333,2200.745,7.081,9.779,0.765,0.508,0.678,0.641,0.33,,
10027,Durango,San Juan de Guadalupe,5251,2030.42,6.373,11.461,0.694,0.531,0.665,0.626,0.37,,
10028,Durango,San Juan del Río,12013,2644.739,7.758,12.204,0.837,0.598,0.705,0.706,0.37,,
10029,Durango,San Luis del Cordero,2103,2245.625,6.955,11.188,0.854,0.543,0.681,0.681,0.35,,
10030,Durango,San Pedro del Gallo,1633,2334.601,6.784,11.236,0.841,0.538,0.687,0.678,0.32,,
10031,Durango,Santa Clara,6727,2735.23,7.384,12.933,0.836,0.605,0.71,0.711,0.34,,
10032,Durango,Santiago Papasquiaro,49207,3583.971,8.337,12.535,0.86,0.626,0.751,0.74,0.33,,
10033,Durango,Súchil,6917,2670.714,7.628,12.216,0.762,0.594,0.707,0.684,0.42,,
10034,Durango,Tamazula,26300,1963.102,6.333,11.265,0.639,0.524,0.66,0.605,0.43,,
10035,Durango,Tepehuanes,11378,2676.973,6.57,11.101,0.824,0.527,0.707,0.675,0.37,,
10036,Durango,Tlahualilo,21143,3292.02,8.253,12.308,0.861,0.617,0.738,0.732,0.32,,
10037,Durango,Topia,9320,1966.707,6.632,10.8,0.673,0.521,0.661,0.614,0.4,,
10038,Durango,Vicente Guerrero,23476,3533.259,9.093,12.458,0.863,0.649,0.749,0.749,0.34,,
10039,Durango,Nuevo Ideal,27981,3217.543,8.037,11.559,0.87,0.589,0.735,0.722,0.35,,
11001,Guanajuato,Abasolo,92040,2979.224,7.024,12.204,0.846,0.573,0.723,0.705,0.34,,
11002,Guanajuato,Acámbaro,108697,3088.261,7.304,11.957,0.843,0.576,0.729,0.707,0.37,,
11003,Guanajuato,San Miguel de Allende,174615,3183.204,8.027,11.464,0.875,0.586,0.733,0.722,0.35,,
11004,Guanajuato,Apaseo el Alto,63392,2908.603,7.287,12.313,0.853,0.585,0.72,0.711,0.34,,
11005,Guanajuato,Apaseo el Grande,117883,3327.66,8.322,11.337,0.812,0.592,0.74,0.709,0.34,,
11006,Guanajuato,Atarjea,5296,1839.545,6.3,12.177,0.618,0.548,0.651,0.604,0.38,,
11007,Guanajuato,Celaya,521169,3708.54,9.371,12.801,0.846,0.668,0.756,0.753,0.38,,
11008,Guanajuato,Manuel Doblado,41240,2935.631,6.493,10.94,0.86,0.52,0.721,0.686,0.36,,
11009,Guanajuato,Comonfort,82216,2716.045,7.396,11.525,0.772,0.567,0.709,0.677,0.36,,
11010,Guanajuato,Coroneo,11083,2755.609,7.11,11.759,0.822,0.564,0.712,0.691,0.34,,
11011,Guanajuato,Cortazar,97928,3372.059,8.23,11.939,0.832,0.606,0.742,0.72,0.36,,
11012,Guanajuato,Cuerámaro,30857,2926.667,7.031,11.389,0.83,0.551,0.721,0.691,0.34,,
11013,Guanajuato,Doctor Mora,27390,3135.41,6.981,12.353,0.839,0.576,0.731,0.707,0.33,,
11014,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,163038,2830.74,7.221,11.514,0.794,0.561,0.716,0.683,0.38,,
11015,Guanajuato,Guanajuato,194500,4431.318,10.257,13.594,0.838,0.72,0.783,0.779,0.4,,
11016,Guanajuato,Huanímaro,21128,2775.134,7.114,11.851,0.83,0.566,0.713,0.695,0.34,,
11017,Guanajuato,Irapuato,592953,4213.895,9.405,12.662,0.822,0.665,0.776,0.752,0.4,,
11018,Guanajuato,Jaral del Progreso,38782,2842.011,7.807,11.478,0.809,0.579,0.716,0.695,0.35,,
11019,Guanajuato,Jerécuaro,49517,2554.391,6.178,10.948,0.741,0.51,0.7,0.642,0.36,,
11020,Guanajuato,León,1721215,3614.21,8.953,11.816,0.88,0.627,0.753,0.746,0.38,,
11021,Guanajuato,Moroleón,47261,3725.848,7.719,11.66,0.812,0.581,0.757,0.71,0.37,,
11022,Guanajuato,Ocampo,26383,2758.809,6.383,10.465,0.841,0.503,0.712,0.671,0.33,,
11023,Guanajuato,Pénjamo,154960,2801.15,6.755,10.94,0.829,0.529,0.714,0.679,0.35,,
11024,Guanajuato,Pueblo Nuevo,12403,3271.493,7.49,11.803,0.847,0.578,0.738,0.712,0.38,,
11025,Guanajuato,Purísima del Rincón,83842,3470.097,7.178,10.477,0.824,0.53,0.746,0.688,0.32,,
11026,Guanajuato,Romita,65766,2949.293,7.539,11.309,0.814,0.565,0.722,0.693,0.36,,
11027,Guanajuato,Salamanca,273417,3683.353,8.978,12.99,0.851,0.66,0.755,0.751,0.36,,
11028,Guanajuato,Salvatierra,94126,3156.928,7.889,12.802,0.816,0.619,0.732,0.718,0.37,,
11029,Guanajuato,San Diego de la Unión,41054,2987.071,6.052,10.982,0.834,0.507,0.724,0.674,0.31,,
11030,Guanajuato,San Felipe,119793,2704.034,6.926,10.879,0.764,0.533,0.709,0.661,0.34,,
11031,Guanajuato,San Francisco del Rincón,130871,3357.094,7.797,11.501,0.843,0.579,0.741,0.713,0.35,,
11032,Guanajuato,San José Iturbide,89558,3751.632,8.261,11.99,0.823,0.608,0.758,0.724,0.32,,
11033,Guanajuato,San Luis de la Paz,128536,2869.76,7.4,12.023,0.831,0.581,0.718,0.702,0.36,,
11034,Guanajuato,Santa Catarina,5723,2661.88,6.81,11.73,0.711,0.553,0.706,0.652,0.36,,
11035,Guanajuato,Santa Cruz de Juventino Rosas,82340,2673.202,7.105,11.101,0.813,0.545,0.707,0.679,0.38,,
11036,Guanajuato,Santiago Maravatío,6714,2910.989,6.95,12.381,0.788,0.576,0.72,0.689,0.35,,
11037,Guanajuato,Silao de la Victoria,203556,3529.702,8.864,11.996,0.86,0.629,0.749,0.74,0.37,,
11038,Guanajuato,Tarandacuao,11304,2939.55,7.43,11.463,0.825,0.566,0.721,0.696,0.34,,
11039,Guanajuato,Tarimoro,35905,3031.892,6.866,12.241,0.866,0.569,0.726,0.71,0.36,,
11040,Guanajuato,Tierra Blanca,20007,2336.954,6.706,11.34,0.674,0.539,0.687,0.629,0.34,,
11041,Guanajuato,Uriangato,61494,3210.318,7.298,12.025,0.793,0.577,0.735,0.696,0.35,,
11042,Guanajuato,Valle de Santiago,150054,2969.917,7.536,11.324,0.837,0.566,0.723,0.699,0.34,,
11043,Guanajuato,Victoria,21253,2729.178,7.482,12.799,0.773,0.605,0.71,0.693,0.38,,
11044,Guanajuato,Villagrán,65791,3316.028,8.677,13.172,0.84,0.655,0.74,0.741,0.33,,
11045,Guanajuato,Xichú,11143,2200.793,5.686,10.758,0.801,0.488,0.678,0.643,0.4,,
11046,Guanajuato,Yuriria,68741,2717.867,6.335,11.69,0.825,0.536,0.71,0.68,0.38,,
12001,Guerrero,Acapulco de Juárez,779566,3118.964,9.256,13.094,0.873,0.672,0.73,0.754,0.38,,
12002,Guerrero,Ahuacuotzingo,25205,1138.83,3.995,10.445,0.694,0.423,0.578,0.554,0.34,,
12003,Guerrero,Ajuchitlán del Progreso,37655,2376.932,6.257,11.857,0.818,0.538,0.689,0.672,0.39,,
12004,Guerrero,Alcozauca de Guerrero,21225,982.809,3.368,9.297,0.663,0.371,0.556,0.515,0.4,,
12005,Guerrero,Alpoyeca,7813,2216.15,6.371,12.44,0.804,0.558,0.679,0.673,0.33,,
12006,Guerrero,Apaxtla,11112,2031.898,6.881,11.304,0.859,0.543,0.666,0.678,0.42,,
12007,Guerrero,Arcelia,33267,2612.964,7.869,11.841,0.852,0.591,0.704,0.708,0.38,,
12008,Guerrero,Atenango del Río,9147,2006.873,5.353,10.743,0.808,0.477,0.664,0.635,0.33,,
12009,Guerrero,Atlamajalcingo del Monte,5811,881.621,4.961,10.343,0.594,0.453,0.539,0.525,0.36,,
12010,Guerrero,Atlixtac,28491,1003.108,4.03,10.635,0.752,0.43,0.559,0.565,0.35,,
12011,Guerrero,Atoyac de Álvarez,60680,3135.564,8.384,12.312,0.772,0.621,0.731,0.705,0.38,,
12012,Guerrero,Ayutla de los Libres,69123,2069.092,7.054,11.595,0.782,0.557,0.668,0.663,0.41,,
12013,Guerrero,Azoyú,15099,2657.324,6.901,12.77,0.861,0.585,0.706,0.708,0.34,,
12014,Guerrero,Benito Juárez,15442,4253.438,8.836,12.856,0.774,0.652,0.777,0.732,0.34,,
12015,Guerrero,Buenavista de Cuéllar,12982,2859.345,7.39,12.954,0.852,0.606,0.717,0.718,0.35,,
12016,Guerrero,Coahuayutla de José María Izazaga,12408,1957.645,4.531,10.039,0.785,0.43,0.66,0.606,0.33,,
12017,Guerrero,Cocula,15579,2600.583,6.897,11.812,0.844,0.558,0.703,0.692,0.38,,
12018,Guerrero,Copala,14463,2246.658,6.822,12.281,0.839,0.569,0.681,0.687,0.34,,
12019,Guerrero,Copalillo,15598,1273.428,4.358,9.909,0.761,0.421,0.595,0.575,0.34,,
12020,Guerrero,Copanatoyac,21648,1029.932,4.005,9.789,0.703,0.405,0.563,0.543,0.37,,
12021,Guerrero,Coyuca de Benítez,73056,2340.868,7.522,12.112,0.851,0.587,0.687,0.7,0.39,,
12022,Guerrero,Coyuca de Catalán,38554,2264.199,6.136,11.223,0.863,0.516,0.682,0.672,0.38,,
12023,Guerrero,Cuajinicuilapa,26627,2531.726,6.201,11.961,0.847,0.539,0.699,0.683,0.32,,
12024,Guerrero,Cualác,7874,1485.787,5.645,11.715,0.816,0.514,0.618,0.637,0.33,,
12025,Guerrero,Cuautepec,17024,1877.483,6.307,11.687,0.801,0.535,0.654,0.654,0.36,,
12026,Guerrero,Cuetzala del Progreso,8272,1598.339,5.067,11.598,0.808,0.491,0.629,0.63,0.33,,
12027,Guerrero,Cutzamala de Pinzón,20537,2351.897,5.133,10.158,0.818,0.453,0.688,0.634,0.32,,
12028,Guerrero,Chilapa de Álvarez,123722,2207.795,6.685,11.856,0.779,0.552,0.678,0.663,0.41,,
12029,Guerrero,Chilpancingo de los Bravo,283354,3309.625,10.189,13.891,0.882,0.726,0.739,0.779,0.42,,
12030,Guerrero,Florencio Villarreal,22250,3100.247,7.325,11.786,0.845,0.572,0.729,0.706,0.36,,
12031,Guerrero,General Canuto A. Neri,6278,1420.829,5.818,10.91,0.765,0.497,0.612,0.615,0.34,,
12032,Guerrero,General Heliodoro Castillo,37254,1148.718,5.19,10.472,0.65,0.464,0.579,0.559,0.34,,
12033,Guerrero,Huamuxtitlán,17488,2147.804,7.092,12.221,0.792,0.576,0.674,0.675,0.42,,
12034,Guerrero,Huitzuco de los Figueroa,36593,2516.652,6.537,11.059,0.863,0.525,0.698,0.681,0.37,,
12035,Guerrero,Iguala de la Independencia,154173,3320.328,9.354,13.353,0.806,0.683,0.74,0.741,0.41,,
12036,Guerrero,Igualapa,11739,1848.243,6.78,12.39,0.786,0.57,0.651,0.663,0.35,,
12037,Guerrero,Ixcateopan de Cuauhtémoc,6138,1738.291,6.598,12.04,0.853,0.554,0.642,0.672,0.35,,
12038,Guerrero,Zihuatanejo de Azueta,126001,3443.575,8.893,12.622,0.889,0.647,0.745,0.754,0.36,,
12039,Guerrero,Juan R. Escudero,26093,2032.558,7.095,12.789,0.78,0.592,0.666,0.675,0.38,,
12040,Guerrero,Leonardo Bravo,26357,1459.904,6.124,11.479,0.837,0.523,0.616,0.646,0.38,,
12041,Guerrero,Malinaltepec,29625,1253.397,6.703,12.74,0.789,0.577,0.593,0.647,0.35,,
12042,Guerrero,Mártir de Cuilapan,18613,1705.662,4.972,11.021,0.761,0.472,0.639,0.612,0.4,,
12043,Guerrero,Metlatónoc,18859,787.486,3.309,10.206,0.597,0.394,0.522,0.497,0.37,,
12044,Guerrero,Mochitlán,12402,2210.751,7.428,12.84,0.812,0.604,0.678,0.693,0.39,,
12045,Guerrero,Olinalá,28446,1472.745,5.533,11.043,0.776,0.491,0.617,0.617,0.4,,
12046,Guerrero,Ometepec,68207,2501.197,7.696,12.877,0.697,0.614,0.697,0.668,0.39,,
12047,Guerrero,Pedro Ascencio Alquisiras,7076,1210.061,4.835,10.133,0.839,0.443,0.587,0.602,0.32,,
12048,Guerrero,Petatlán,44583,2774.487,7.329,12.409,0.776,0.589,0.713,0.688,0.35,,
12049,Guerrero,Pilcaya,12753,2467.167,6.825,11.391,0.859,0.544,0.695,0.687,0.37,,
12050,Guerrero,Pungarabato,38482,3116.424,8.097,12.437,0.775,0.615,0.73,0.703,0.37,,
12051,Guerrero,Quechultenango,36143,1124.696,4.817,10.471,0.858,0.451,0.576,0.607,0.36,,
12052,Guerrero,San Luis Acatlán,46270,1669.319,6.251,11.89,0.807,0.539,0.636,0.651,0.38,,
12053,Guerrero,San Marcos,50124,2543.606,6.759,12.314,0.8,0.567,0.699,0.682,0.34,,
12054,Guerrero,San Miguel Totolapan,24139,1573.373,5.476,10.612,0.838,0.477,0.627,0.631,0.39,,
12055,Guerrero,Taxco de Alarcón,105586,1990.521,7.97,12.856,0.734,0.623,0.662,0.671,0.38,,
12056,Guerrero,Tecoanapa,46063,1563.538,7.156,12.061,0.838,0.574,0.626,0.67,0.36,,
12057,Guerrero,Técpan de Galeana,65237,3409.233,6.972,11.311,0.753,0.547,0.744,0.674,0.32,,
12058,Guerrero,Teloloapan,53817,2474.686,7.189,12.294,0.837,0.581,0.695,0.697,0.38,,
12059,Guerrero,Tepecoacuilco de Trujano,30806,1889.565,5.874,10.614,0.816,0.491,0.655,0.64,0.38,,
12060,Guerrero,Tetipac,13552,1522.606,6.126,11.273,0.83,0.517,0.622,0.644,0.35,,
12061,Guerrero,Tixtla de Guerrero,43171,3318.67,9.253,13.627,0.842,0.687,0.74,0.754,0.43,,
12062,Guerrero,Tlacoachistlahuaca,22781,1605.14,4.052,10.227,0.846,0.419,0.63,0.607,0.37,,
12063,Guerrero,Tlacoapa,10092,1089.418,6.177,11.332,0.56,0.521,0.571,0.55,0.34,,
12064,Guerrero,Tlalchapa,11681,2905.639,6.69,11.811,0.861,0.551,0.72,0.699,0.34,,
12065,Guerrero,Tlalixtaquilla de Maldonado,7602,1869.767,5.053,10.929,0.74,0.472,0.653,0.611,0.34,,
12066,Guerrero,Tlapa de Comonfort,96125,2358.62,7.994,12.349,0.745,0.609,0.688,0.679,0.45,,
12067,Guerrero,Tlapehuala,22209,2417.679,7.17,12.826,0.843,0.595,0.692,0.703,0.41,,
12068,Guerrero,La Unión de Isidoro Montes de Oca,26349,2856.475,6.251,11.37,0.813,0.524,0.717,0.673,0.33,,
12069,Guerrero,Xalpatláhuac,11966,1187.165,3.927,10.215,0.808,0.415,0.584,0.58,0.34,,
12070,Guerrero,Xochihuehuetlán,7862,2330.125,5.552,11.499,0.794,0.504,0.686,0.65,0.32,,
12071,Guerrero,Xochistlahuaca,29891,1580.707,4.064,10.158,0.814,0.418,0.628,0.598,0.34,,
12072,Guerrero,Zapotitlán Tablas,12004,1162.977,5.446,10.202,0.671,0.465,0.581,0.566,0.33,,
12073,Guerrero,Zirándaro,18031,2011.437,4.842,9.563,0.838,0.427,0.664,0.619,0.38,,
12074,Guerrero,Zitlala,21977,1609.01,4.803,10.848,0.808,0.461,0.63,0.617,0.32,,
12075,Guerrero,Eduardo Neri,53126,2772.324,7.706,12.352,0.793,0.6,0.713,0.697,0.4,,
12076,Guerrero,Acatepec,40197,974.593,5.124,11.187,0.809,0.482,0.555,0.6,0.33,,
12077,Guerrero,Marquelia,14280,2713.33,7.623,12.342,0.836,0.597,0.709,0.707,0.37,,
12078,Guerrero,Cochoapa el Grande,21241,502.35,1.986,8.818,0.622,0.311,0.454,0.445,0.44,,
12079,Guerrero,José Joaquín de Herrera,18381,982.792,3.639,10.127,0.821,0.403,0.556,0.568,0.33,,
12080,Guerrero,Juchitán,7559,2404.283,6.051,12.311,0.802,0.544,0.691,0.67,0.33,,
12081,Guerrero,Iliatenco,11679,1505.751,7.814,13.37,0.775,0.632,0.62,0.672,0.38,,
13001,Hidalgo,Acatlán,22268,2741.332,6.4,11.26,0.849,0.526,0.711,0.682,0.29,,
13002,Hidalgo,Acaxochitlán,46065,1782.035,5.396,10.404,0.817,0.469,0.646,0.628,0.35,,
13003,Hidalgo,Actopan,61002,3462.859,9.545,13.464,0.891,0.692,0.746,0.772,0.33,,
13004,Hidalgo,Agua Blanca de Iturbide,10313,2139.231,6.275,12.103,0.882,0.545,0.673,0.687,0.32,,
13005,Hidalgo,Ajacuba,18872,2994.685,8.188,12.824,0.88,0.629,0.724,0.737,0.31,,
13006,Hidalgo,Alfajayucan,19162,2492.9,7.636,13.803,0.877,0.638,0.696,0.73,0.31,,
13007,Hidalgo,Almoloya,12546,2542.422,8.189,12.69,0.892,0.625,0.699,0.731,0.31,,
13008,Hidalgo,Apan,46681,3491.897,9.392,13.389,0.882,0.685,0.747,0.767,0.34,,
13009,Hidalgo,El Arenal,19836,2793.43,8.518,12.935,0.882,0.643,0.714,0.74,0.32,,
13010,Hidalgo,Atitalaquia,31525,4619.587,10.126,14.087,0.888,0.729,0.79,0.8,0.31,,
13011,Hidalgo,Atlapexco,19812,2152.502,6.67,13.089,0.888,0.586,0.674,0.705,0.33,,
13012,Hidalgo,Atotonilco el Grande,30135,2654.195,7.23,12.199,0.898,0.58,0.706,0.716,0.32,,
13013,Hidalgo,Atotonilco de Tula,62470,3397.045,9.583,12.936,0.89,0.679,0.743,0.766,0.3,,
13014,Hidalgo,Calnali,16150,2247.907,6.393,13.233,0.872,0.581,0.681,0.701,0.36,,
13015,Hidalgo,Cardonal,19431,2281.078,8.074,14.024,0.86,0.659,0.683,0.729,0.34,,
13016,Hidalgo,Cuautepec de Hinojosa,60421,2311.581,7.223,12.088,0.883,0.577,0.685,0.704,0.33,,
13017,Hidalgo,Chapantongo,12967,2407.334,7.279,12.571,0.898,0.592,0.691,0.716,0.3,,
13018,Hidalgo,Chapulhuacán,22903,2630.513,6.575,11.313,0.865,0.533,0.705,0.688,0.32,,
13019,Hidalgo,Chilcuautla,18909,2598.435,7.983,13.894,0.887,0.652,0.703,0.741,0.31,,
13020,Hidalgo,Eloxochitlán,2593,2273.05,6.611,12.642,0.878,0.572,0.683,0.7,0.29,,
13021,Hidalgo,Emiliano Zapata,15175,3135.681,9.179,13.716,0.88,0.687,0.731,0.762,0.31,,
13022,Hidalgo,Epazoyucan,16285,3067.789,8.607,12.534,0.886,0.635,0.728,0.743,0.32,,
13023,Hidalgo,Francisco I. Madero,36248,3191.101,9.731,14.592,0.884,0.73,0.734,0.779,0.34,,
13024,Hidalgo,Huasca de Ocampo,17607,2413.8,7.091,12.075,0.875,0.572,0.692,0.702,0.33,,
13025,Hidalgo,Huautla,20673,2401.863,7.167,13.145,0.869,0.604,0.691,0.713,0.38,,
13026,Hidalgo,Huazalingo,12766,1419.591,5.77,12.405,0.863,0.537,0.611,0.657,0.32,,
13027,Hidalgo,Huehuetla,22846,1844.368,5.405,12.296,0.858,0.522,0.651,0.663,0.35,,
13028,Hidalgo,Huejutla de Reyes,126781,2486.193,7.468,13.231,0.883,0.616,0.696,0.724,0.39,,
13029,Hidalgo,Huichapan,47425,2972.332,7.748,13.235,0.886,0.626,0.723,0.737,0.32,,
13030,Hidalgo,Ixmiquilpan,98654,3170.749,8.95,13.375,0.887,0.67,0.733,0.758,0.35,,
13031,Hidalgo,Jacala de Ledezma,12290,3200.139,7.009,12.622,0.876,0.584,0.734,0.721,0.33,,
13032,Hidalgo,Jaltocán,10523,2152.446,6.015,13.316,0.896,0.57,0.674,0.701,0.33,,
13033,Hidalgo,Juárez Hidalgo,2895,2233.352,6.625,12.236,0.888,0.561,0.68,0.697,0.33,,
13034,Hidalgo,Lolotla,9474,1636.584,6.511,12.798,0.867,0.573,0.633,0.68,0.33,,
13035,Hidalgo,Metepec,13078,2639.767,7.679,12.539,0.871,0.604,0.705,0.719,0.3,,
13036,Hidalgo,San Agustín Metzquititlán,9449,2349.05,7.625,12.796,0.882,0.61,0.687,0.717,0.31,,
13037,Hidalgo,Metztitlán,20962,2607.135,7.162,12.844,0.85,0.596,0.703,0.709,0.32,,
13038,Hidalgo,Mineral del Chico,8878,2771.199,8.102,13.319,0.875,0.64,0.712,0.736,0.34,,
13039,Hidalgo,Mineral del Monte,14324,3114.591,9.344,13.184,0.88,0.678,0.73,0.758,0.33,,
13040,Hidalgo,La Misión,9819,2049.397,5.427,10.985,0.882,0.486,0.667,0.659,0.3,,
13041,Hidalgo,Mixquiahuala de Juárez,47222,3625.053,9.27,13.533,0.867,0.685,0.753,0.765,0.33,,
13042,Hidalgo,Molango de Escamilla,11578,2875.44,7.816,13.234,0.884,0.628,0.718,0.736,0.4,,
13043,Hidalgo,Nicolás Flores,6265,1919.111,6.937,12.882,0.873,0.589,0.657,0.696,0.32,,
13044,Hidalgo,Nopala de Villagrán,16948,2652.469,7.333,12.978,0.866,0.605,0.706,0.718,0.3,,
13045,Hidalgo,Omitlán de Juárez,9295,2614.193,8.1,12.657,0.893,0.622,0.704,0.731,0.32,,
13046,Hidalgo,San Felipe Orizatlán,38492,2190.61,5.886,12.687,0.877,0.549,0.677,0.688,0.33,,
13047,Hidalgo,Pacula,4748,2306.751,5.868,12.581,0.832,0.545,0.685,0.677,0.3,,
13048,Hidalgo,Pachuca de Soto,314331,4847.843,11.164,14.554,0.881,0.776,0.797,0.817,0.33,,
