clave,entidad,municipio,poblacion,ing_corr_tot_pc,anios_esc_mean,anios_esc_esp,ss_subin_salud,se_subin_educ,si_subin_ing,idh,gini,,
05024,Coahuila de Zaragoza,Parras,44472,3926.874,9.209,12.725,0.873,0.66,0.765,0.761,0.34,,
05025,Coahuila de Zaragoza,Piedras Negras,176327,4941.136,9.743,11.794,0.897,0.652,0.8,0.777,0.33,,
05026,Coahuila de Zaragoza,Progreso,3239,3132.78,7.266,11.464,0.862,0.561,0.731,0.707,0.32,,
05027,Coahuila de Zaragoza,Ramos Arizpe,122243,5322.794,10.097,12.549,0.888,0.685,0.811,0.79,0.33,,
05028,Coahuila de Zaragoza,Sabinas,64811,4629.22,9.573,12.437,0.892,0.665,0.79,0.777,0.33,,
05029,Coahuila de Zaragoza,Sacramento,2471,3763.164,8.742,12.375,0.823,0.635,0.759,0.735,0.31,,
05030,Coahuila de Zaragoza,Saltillo,879958,5576.731,10.863,13.268,0.914,0.731,0.818,0.818,0.36,,
05031,Coahuila de Zaragoza,San Buenaventura,24759,4388.978,9.659,13.378,0.89,0.694,0.782,0.785,0.31,,
05032,Coahuila de Zaragoza,San Juan de Sabinas,42260,4176.429,9.541,12.421,0.893,0.663,0.774,0.771,0.33,,
05033,Coahuila de Zaragoza,San Pedro,101041,3249.25,8.43,12.229,0.862,0.621,0.736,0.733,0.37,,
05034,Coahuila de Zaragoza,Sierra Mojada,6744,3880.012,9.088,11.746,0.799,0.629,0.763,0.727,0.3,,
05035,Coahuila de Zaragoza,Torreón,720848,4909.784,10.657,12.953,0.911,0.715,0.799,0.804,0.37,,
05036,Coahuila de Zaragoza,Viesca,20305,2497.767,7.308,10.949,0.795,0.548,0.697,0.672,0.32,,
05037,Coahuila de Zaragoza,Villa Unión,6188,4350.679,7.989,11.416,0.852,0.583,0.781,0.729,0.31,,
05038,Coahuila de Zaragoza,Zaragoza,13135,4097.369,8.13,12.029,0.886,0.605,0.772,0.745,0.34,,
06001,Colima,Armería,27626,3998.324,7.407,11.982,0.903,0.58,0.768,0.738,0.35,,
06002,Colima,Colima,157048,5308.356,10.267,13.657,0.884,0.722,0.811,0.803,0.36,,
06003,Colima,Comala,21661,3499.908,8.329,12.819,0.848,0.634,0.748,0.738,0.42,,
06004,Colima,Coquimatlán,20837,3464.544,7.783,12.53,0.865,0.607,0.746,0.732,0.38,,
06005,Colima,Cuauhtémoc,31267,4349.284,9.149,13.564,0.894,0.682,0.781,0.781,0.35,,
06006,Colima,Ixtlahuacán,5623,3458.708,7.093,12.267,0.795,0.577,0.746,0.7,0.36,,
06007,Colima,Manzanillo,191031,4993.385,9.773,12.562,0.902,0.675,0.801,0.787,0.35,,
06008,Colima,Minatitlán,10231,4193.866,7.883,12.17,0.897,0.601,0.775,0.748,0.35,,
06009,Colima,Tecomán,116305,4163.223,7.778,11.552,0.844,0.58,0.774,0.724,0.35,,
06010,Colima,Villa de Álvarez,149762,5671.78,11.506,14.493,0.917,0.786,0.821,0.84,0.34,,
07001,Chiapas,Acacoyagua,17994,1936.481,6.434,10.808,0.675,0.515,0.658,0.611,0.3,,
07002,Chiapas,Acala,21187,2099.64,6.492,10.725,0.838,0.514,0.671,0.661,0.36,,
07003,Chiapas,Acapetahua,26899,2297.633,6.172,11.492,0.714,0.525,0.684,0.635,0.29,,
07004,Chiapas,Altamirano,36160,1005.438,4.572,9.036,0.754,0.403,0.559,0.554,0.38,,
07005,Chiapas,Amatán,24512,1352.065,5.216,9.966,0.75,0.451,0.604,0.589,0.31,,
07006,Chiapas,Amatenango de la Frontera,31735,1701.197,5.959,11.667,0.84,0.523,0.639,0.655,0.31,,
07007,Chiapas,Amatenango del Valle,11283,1056.414,4.059,9.045,0.755,0.387,0.567,0.549,0.37,,
07008,Chiapas,Ángel Albino Corzo,31947,1895.076,5.779,10.45,0.817,0.483,0.655,0.637,0.35,,
07009,Chiapas,Arriaga,41135,2669.058,7.799,12.855,0.831,0.617,0.707,0.713,0.33,,
07010,Chiapas,Bejucal de Ocampo,7365,1020.494,5.716,10.198,0.744,0.474,0.562,0.583,0.32,,
07011,Chiapas,Bella Vista,20157,1369.892,5.842,11.049,0.828,0.502,0.606,0.631,0.3,,
07012,Chiapas,Berriozábal,64632,2578.495,7.777,11.412,0.686,0.576,0.702,0.652,0.38,,
07013,Chiapas,Bochil,37263,1842.36,6.537,11.397,0.685,0.534,0.651,0.62,0.42,,
07014,Chiapas,El Bosque,24273,862.93,4.962,9.337,0.806,0.425,0.536,0.568,0.37,,
07015,Chiapas,Cacahoatán,50112,2153.936,7.626,11.693,0.747,0.579,0.674,0.663,0.4,,
07016,Chiapas,Catazajá,17619,2093.867,6.868,11.685,0.738,0.554,0.67,0.649,0.32,,
07017,Chiapas,Cintalapa,88106,2373.47,7.22,11.696,0.8,0.566,0.689,0.678,0.38,,
07018,Chiapas,Coapilla,9900,1630.751,5.771,10.326,0.829,0.479,0.632,0.631,0.31,,
07019,Chiapas,Comitán de Domínguez,166178,2636.786,7.828,11.515,0.819,0.581,0.705,0.695,0.4,,
07020,Chiapas,La Concordia,49920,1903.598,5.9,11.043,0.829,0.503,0.656,0.649,0.31,,
07021,Chiapas,Copainalá,22192,1966.629,7.005,11.864,0.78,0.563,0.661,0.662,0.36,,
07022,Chiapas,Chalchihuitán,21915,666.513,4.024,7.88,0.571,0.353,0.497,0.464,0.35,,
07023,Chiapas,Chamula,101967,911.52,3.255,8.138,0.677,0.335,0.544,0.498,0.32,,
07024,Chiapas,Chanal,13678,778.281,4.873,10.161,0.636,0.445,0.521,0.528,0.38,,
07025,Chiapas,Chapultenango,7472,1520.753,6.781,11.924,0.831,0.557,0.622,0.66,0.32,,
07026,Chiapas,Chenalhó,47371,695.658,4.105,7.651,0.72,0.349,0.504,0.502,0.37,,
07027,Chiapas,Chiapa de Corzo,112075,2673.167,8.698,12.376,0.815,0.634,0.707,0.715,0.37,,
07028,Chiapas,Chiapilla,6156,1838.496,5.262,11.572,0.796,0.497,0.65,0.636,0.29,,
07029,Chiapas,Chicoasén,5402,1768.868,6.361,11.449,0.68,0.53,0.645,0.615,0.32,,
07030,Chiapas,Chicomuselo,36785,1748.562,5.453,11.057,0.818,0.489,0.643,0.636,0.32,,
07031,Chiapas,Chilón,137262,884.428,4.499,9.222,0.685,0.406,0.54,0.531,0.35,,
07032,Chiapas,Escuintla,30896,2154.445,6.888,11.284,0.797,0.543,0.674,0.663,0.36,,
07033,Chiapas,Francisco León,7245,1356.231,5.158,11.382,0.669,0.488,0.604,0.582,0.3,,
07034,Chiapas,Frontera Comalapa,80897,1886.725,6.613,10.862,0.846,0.522,0.654,0.661,0.38,,
07035,Chiapas,Frontera Hidalgo,14556,2243.608,7.511,11.005,0.826,0.556,0.681,0.679,0.32,,
07036,Chiapas,La Grandeza,7701,1182.211,6.903,11.269,0.703,0.543,0.584,0.606,0.34,,
07037,Chiapas,Huehuetán,36333,2679.192,7.696,12.566,0.834,0.606,0.707,0.709,0.32,,
07038,Chiapas,Huixtán,22975,761.67,5.223,10.344,0.666,0.461,0.517,0.542,0.35,,
07039,Chiapas,Huitiupán,27893,1066.433,4.87,9.579,0.634,0.428,0.568,0.536,0.35,,
07040,Chiapas,Huixtla,53242,2816.358,8.016,12.001,0.67,0.601,0.715,0.66,0.34,,
07041,Chiapas,La Independencia,46409,1335.199,5.453,9.256,0.8,0.439,0.602,0.596,0.34,,
07042,Chiapas,Ixhuatán,11377,1529.951,6.383,10.038,0.819,0.492,0.623,0.631,0.3,,
07043,Chiapas,Ixtacomitán,10961,2321.535,7.972,11.484,0.737,0.585,0.686,0.666,0.34,,
07044,Chiapas,Ixtapa,28999,1327.935,6.391,9.633,0.75,0.481,0.601,0.601,0.35,,
07045,Chiapas,Ixtapangajoya,6284,1787.953,6.071,10.668,0.838,0.499,0.646,0.646,0.29,,
07046,Chiapas,Jiquipilas,41063,2308.935,6.911,12.47,0.849,0.577,0.685,0.695,0.35,,
07047,Chiapas,Jitotol,24966,1050.579,6.133,9.855,0.598,0.478,0.566,0.545,0.45,,
07048,Chiapas,Juárez,21807,2552.413,7.018,12.242,0.726,0.574,0.7,0.663,0.33,,
07049,Chiapas,Larráinzar,31259,840.733,5.314,9.45,0.688,0.44,0.532,0.544,0.35,,
07050,Chiapas,La Libertad,5232,2851.79,7.157,12.564,0.668,0.588,0.717,0.655,0.33,,
07051,Chiapas,Mapastepec,46130,2236.434,6.43,11.571,0.84,0.536,0.68,0.674,0.35,,
07052,Chiapas,Las Margaritas,141027,1111.525,4.978,9.74,0.672,0.436,0.574,0.552,0.41,,
07053,Chiapas,Mazapa de Madero,7901,1411.064,6.371,10.836,0.814,0.513,0.61,0.634,0.35,,
07054,Chiapas,Mazatán,28250,2488.177,6.83,11.066,0.816,0.535,0.696,0.672,0.3,,
07055,Chiapas,Metapa,5876,2399.681,7.736,12.179,0.805,0.596,0.691,0.692,0.35,,
07056,Chiapas,Mitontic,13755,711.232,3.245,7.749,0.706,0.323,0.507,0.487,0.34,,
07057,Chiapas,Motozintla,76398,2182.176,6.967,11.931,0.784,0.564,0.676,0.668,0.38,,
07058,Chiapas,Nicolás Ruíz,4765,1414.87,4.968,10.914,0.718,0.469,0.611,0.59,0.28,,
07059,Chiapas,Ocosingo,234661,1186.502,5.085,10.213,0.789,0.453,0.584,0.593,0.39,,
07060,Chiapas,Ocotepec,14088,1239.431,4.072,9.917,0.658,0.411,0.591,0.543,0.34,,
07061,Chiapas,Ocozocoautla de Espinosa,97397,2204.798,6.957,11.186,0.739,0.543,0.678,0.648,0.4,,
07062,Chiapas,Ostuacán,18469,2333.153,6.469,10.791,0.837,0.515,0.686,0.666,0.32,,
07063,Chiapas,Osumacinta,3983,1745.376,7.125,12.137,0.845,0.575,0.643,0.678,0.37,,
07064,Chiapas,Oxchuc,54932,747.986,6.156,11.277,0.673,0.518,0.515,0.564,0.37,,
07065,Chiapas,Palenque,132265,2237.815,7.063,11.607,0.692,0.558,0.68,0.64,0.36,,
07066,Chiapas,Pantelhó,26391,831.652,3.58,7.84,0.726,0.337,0.531,0.507,0.36,,
07067,Chiapas,Pantepec,12266,1291.631,4.813,11.136,0.766,0.47,0.597,0.599,0.3,,
07068,Chiapas,Pichucalco,31919,2504.435,7.461,12.118,0.674,0.585,0.697,0.65,0.34,,
07069,Chiapas,Pijijiapan,51193,2282.266,7.006,12.233,0.735,0.573,0.683,0.66,0.33,,
07070,Chiapas,El Porvenir,12263,831.233,6.342,9.916,0.733,0.487,0.531,0.574,0.37,,
07071,Chiapas,Villa Comaltitlán,30297,2439.427,6.681,11.056,0.835,0.53,0.693,0.674,0.3,,
07072,Chiapas,Pueblo Nuevo Solistahuacán,29636,1381.363,5.499,9.968,0.763,0.46,0.607,0.597,0.38,,
07073,Chiapas,Rayón,10866,1776.87,6.88,12.029,0.758,0.563,0.645,0.651,0.36,,
07074,Chiapas,Reforma,44829,2622.904,7.9,11.713,0.834,0.589,0.704,0.702,0.35,,
07075,Chiapas,Las Rosas,28829,1501.996,4.923,9.271,0.815,0.422,0.62,0.597,0.34,,
07076,Chiapas,Sabanilla,29889,1213.943,5.319,10.658,0.815,0.473,0.588,0.61,0.31,,
07077,Chiapas,Salto de Agua,64251,1440.357,5.208,11.026,0.76,0.48,0.614,0.607,0.32,,
07078,Chiapas,San Cristóbal de las Casas,215874,2701.017,9.203,11.459,0.777,0.625,0.709,0.701,0.45,,
07079,Chiapas,San Fernando,41793,2445.042,6.574,10.323,0.796,0.506,0.694,0.654,0.35,,
07080,Chiapas,Siltepec,25937,1178.394,5.55,11.417,0.838,0.502,0.583,0.626,0.3,,
07081,Chiapas,Simojovel,52935,1054.622,4.841,8.964,0.687,0.41,0.567,0.543,0.41,,
07082,Chiapas,Sitalá,15518,781.36,3.165,8.532,0.625,0.343,0.521,0.481,0.36,,
07083,Chiapas,Socoltenango,19092,2001.263,5.704,10.932,0.801,0.494,0.663,0.64,0.34,,
07084,Chiapas,Solosuchiapa,8561,1706.168,6.178,10.536,0.676,0.499,0.639,0.599,0.33,,
07085,Chiapas,Soyaló,10890,1560.22,5.875,10.165,0.714,0.478,0.626,0.598,0.32,,
07086,Chiapas,Suchiapa,25627,2513.254,7.745,11.83,0.804,0.587,0.698,0.69,0.35,,
07087,Chiapas,Suchiate,41672,2408.689,6.131,10.333,0.84,0.491,0.691,0.658,0.3,,
07088,Chiapas,Sunuapa,2308,1988.044,6.992,12.245,0.737,0.573,0.662,0.654,0.31,,
07089,Chiapas,Tapachula,353706,2799.131,8.821,12.247,0.844,0.634,0.714,0.726,0.37,,
07090,Chiapas,Tapalapa,4547,1588.192,6.06,11.917,0.721,0.533,0.628,0.623,0.33,,
